fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia
1980-04-03,8175,ALBACETE BASE AÉREA,ALBACETE,702,"15,3","0,0","6,4",06:25,"24,2",13:35,,"3,1",,,"8,4","939,7",09,"934,8",18,55
1980-04-03,8096,CUENCA,CUENCA,949,"12,6","0,0","4,8",06:00,"20,4",15:10,34,"1,7","4,4",12:30,"9,8","914,5",00,"909,7",18,57
1980-04-04,8175,ALBACETE BASE AÉREA,ALBACETE,702,"7,2","0,4","3,2",22:35,"11,2",16:20,,"6,7",,,"1,8","937,1",00,"932,9",24,78
1980-04-04,8096,CUENCA,CUENCA,949,"7,5","0,0","-0,6",06:00,"15,6",16:10,34,"1,1","4,4",16:15,"9,7","910,7",Varias,"906,7",18,56
1980-04-05,8175,ALBACETE BASE AÉREA,ALBACETE,702,"7,0","0,0","0,0",06:10,"14,0",13:20,,"5,0",,,"10,0","938,0",24,"931,7",03,53
1980-04-05,8096,CUENCA,CUENCA,949,"7,8","0,0","1,0",Varias,"14,6",Varias,02,"1,7","4,4",07:50,"10,0","910,7",24,"905,7",09,49
1980-04-06,8175,ALBACETE BASE AÉREA,ALBACETE,702,"6,4","0,0","-2,6",03:30,"15,4",15:10,,"0,0",,,"10,6","938,0",00,"933,9",18,47
1980-04-06,8096,CUENCA,CUENCA,949,"6,4","0,0","-1,6",07:00,"14,4",16:30,36,"1,1","4,4",12:30,"9,5","910,9",24,"907,3",17,63
1980-03-30,8414A,VALENCIA AEROPUERTO,VALENCIA,56,"16,5","0,0","12,0",23:59,"21,0",12:20,14,"2,8","10,0",13:19,"9,2","1017,3",10,"1013,2",00,66
1980-03-30,8416,VALÈNCIA,VALENCIA,11,"18,0","0,0","15,4",07:00,"20,6",14:40,11,"1,4","5,3",15:01,"9,3","1022,9",11,"1018,0",00,67
1980-03-31,8414A,VALENCIA AEROPUERTO,VALENCIA,56,"18,3","0,0","10,0",05:50,"26,6",12:20,11,"3,3","8,9",14:07,"10,0","1016,7",00,"1010,8",19,63
1980-03-31,8416,VALÈNCIA,VALENCIA,11,"18,7","0,0","12,0",06:30,"25,4",11:45,11,"0,6","5,3",14:40,"11,0","1021,6",00,"1016,5",19,70
1980-04-01,8414A,VALENCIA AEROPUERTO,VALENCIA,56,"23,0","0,0","12,2",02:50,"33,8",15:10,29,"6,4","16,1",13:40,"10,6","1011,6",24,"1007,6",16,33
1980-04-01,8416,VALÈNCIA,VALENCIA,11,"23,7","0,0","13,2",00:00,"34,2",13:00,29,"1,1","9,7",13:50,"10,5","1017,3",24,"1012,4",15,44
1980-04-02,8414A,VALENCIA AEROPUERTO,VALENCIA,56,"18,1","0,0","12,0",05:30,"24,2",11:00,09,"3,3","8,9",14:58,"8,8","1015,6",21,"1011,6",00,64
1980-04-02,8416,VALÈNCIA,VALENCIA,11,"18,5","0,0","14,0",05:30,"23,0",12:00,09,"0,6","5,8",13:35,"9,2","1021,3",21,"1017,3",00,64
1980-04-03,8414A,VALENCIA AEROPUERTO,VALENCIA,56,"15,4","2,0","11,4",02:40,"19,5",11:50,14,"3,9","10,0",14:00,"6,5","1015,3",Varias,"1011,5",17,79
1980-04-03,8416,VALÈNCIA,VALENCIA,11,"15,8","4,4","12,6",04:00,"19,0",13:45,11,"1,7","5,8",17:00,"7,0","1021,1",10,"1016,7",18,80
1980-04-04,8414A,VALENCIA AEROPUERTO,VALENCIA,56,"11,3","0,2","7,4",23:59,"15,2",18:00,05,"1,4","11,9",02:51,"1,3","1014,1",10,"1007,6",24,78
1980-04-04,8416,VALÈNCIA,VALENCIA,11,"12,6","0,6","9,4",07:00,"15,8",14:45,36,"1,1","7,2",02:40,"2,0","1020,0",10,"1012,8",24,71
1980-04-05,8414A,VALENCIA AEROPUERTO,VALENCIA,56,"9,4","0,0","4,2",06:40,"14,5",10:00,05,"3,9","18,1",12:32,"9,4","1014,8",23,"1006,3",06,65
1980-04-05,8416,VALÈNCIA,VALENCIA,11,"10,2","0,7","6,0",05:45,"14,4",10:00,02,"1,4","8,3",12:30,"10,0","1020,0",24,"1010,9",06,73
1980-04-06,8414A,VALENCIA AEROPUERTO,VALENCIA,56,"11,0","7,0","2,7",06:40,"19,4",14:00,14,"3,9","16,1",14:52,"9,9","1014,5",00,"1008,8",15,55
1980-04-06,8416,VALÈNCIA,VALENCIA,11,"12,2","11,8","5,8",04:15,"18,6",11:50,14,"2,5","10,8",14:55,"10,2","1020,0",00,"1013,7",16,58
1980-03-30,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43,"15,2","0,0","10,6",23:59,"19,8",13:00,18,"3,1","8,9",14:05,"10,1","1019,7",10,"1014,9",00,79
1980-03-31,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43,"16,8","0,0","10,4",00:15,"23,2",13:20,16,"3,1","6,1",13:28,"10,1","1018,9",00,"1014,1",24,78
1980-04-01,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43,"19,3","0,0","10,0",01:15,"28,6",13:45,11,"2,8","7,5",20:56,"9,5","1014,9",24,"1011,4",16,62
1980-04-02,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43,"17,3","0,0","11,8",06:00,"22,8",11:00,14,"3,1","5,8",10:58,"7,9","1017,4",21,"1014,9",00,70
1980-04-03,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43,"13,4","6,3","8,8",06:00,"18,0",13:50,05,"2,8","6,7",10:18,"1,2","1017,6",08,"1014,0",18,84
1980-04-04,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43,"11,4","0,5","7,6",21:40,"15,2",16:00,18,"4,2","10,3",14:55,"4,6","1016,5",09,"1009,6",24,78
1980-04-05,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43,"9,7","0,3","5,0",22:00,"14,4",09:45,05,"5,0","16,1",10:27,"8,8","1016,9",23,"1008,4",05,59
1980-04-06,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43,"10,6","0,0","4,6",05:15,"16,6",14:30,11,"6,1","8,9",12:18,"9,6","1017,2",24,"1013,2",15,62
1980-03-30,9051,MEDINA DE POMAR,BURGOS,580,,"0,0",,,,,,,,,,,,,,
1980-03-31,9051,MEDINA DE POMAR,BURGOS,580,,"0,0",,,,,,,,,,,,,,
1980-04-01,9051,MEDINA DE POMAR,BURGOS,580,,"0,0",,,,,,,,,,,,,,
1980-04-02,9051,MEDINA DE POMAR,BURGOS,580,,"0,0",,,,,,,,,,,,,,
1980-04-03,9051,MEDINA DE POMAR,BURGOS,580,,"0,0",,,,,,,,,,,,,,
1980-04-04,9051,MEDINA DE POMAR,BURGOS,580,,"0,0",,,,,,,,,,,,,,
1980-04-05,9051,MEDINA DE POMAR,BURGOS,580,,"0,0",,,,,,,,,,,,,,
1980-04-06,9051,MEDINA DE POMAR,BURGOS,580,,"0,0",,,,,,,,,,,,,,
1980-03-30,9091O,FORONDA-TXOKIZA,ARABA/ALAVA,513,"12,9","0,0","7,0",,"18,8",,,"1,9",,,,"965,3",08,"962,3",16,71
1980-03-31,9091O,FORONDA-TXOKIZA,ARABA/ALAVA,513,"15,1","0,0","5,0",,"25,2",,,"3,1",,,,"962,9",00,"956,9",18,69
1980-04-01,9091O,FORONDA-TXOKIZA,ARABA/ALAVA,513,"16,3","7,8","7,6",06:30,"25,0",14:15,,"3,6",,,"8,0","964,7",24,"956,7",15,72
1980-04-02,9091O,FORONDA-TXOKIZA,ARABA/ALAVA,513,"9,6","0,0","6,6",23:59,"12,6",14:15,,"4,7",,,"2,5","967,6",19,"964,3",05,83
1980-04-03,9091O,FORONDA-TXOKIZA,ARABA/ALAVA,513,"9,1","0,0","6,0",20:00,"12,2",13:15,,"4,2",,,"7,6","967,9",11,"965,9",24,63
1980-04-04,9091O,FORONDA-TXOKIZA,ARABA/ALAVA,513,"5,7","0,0","0,0",05:30,"11,4",13:15,,"5,0",,,"9,8","966,0",00,"962,5",24,52
1980-04-05,9091O,FORONDA-TXOKIZA,ARABA/ALAVA,513,"6,7","0,0","4,0",05:00,"9,4",13:15,,"6,7",,,"6,4","963,7",22,"961,1",05,57
1980-04-06,9091O,FORONDA-TXOKIZA,ARABA/ALAVA,513,"6,6","0,0","3,6",03:00,"9,6",13:30,,"6,4",,,"5,8","965,6",23,"962,7",07,68
1980-03-30,9170,"LOGROÑO, AEROPUERTO",LA RIOJA,353,"14,7","0,0","9,6",05:00,"19,8",17:00,29,"3,6","8,1",14:45,"7,1","981,6",09,"978,7",16,66
1980-03-31,9170,"LOGROÑO, AEROPUERTO",LA RIOJA,353,"15,9","0,0","8,0",06:30,"23,8",16:00,09,"1,4","4,7",14:10,"9,3","978,8",00,"973,9",Varias,67
1980-04-01,9170,"LOGROÑO, AEROPUERTO",LA RIOJA,353,"17,4","0,0","10,6",06:30,"24,2",15:00,32,"3,6","10,0",14:50,"10,4","980,3",24,"973,6",16,59
1980-04-02,9170,"LOGROÑO, AEROPUERTO",LA RIOJA,353,"12,1","0,0","9,0",23:00,"15,2",13:30,36,"3,3","7,5",17:05,"3,1","982,9",21,"980,0",04,57
1980-04-03,9170,"LOGROÑO, AEROPUERTO",LA RIOJA,353,"9,9","0,0","6,4",06:00,"13,4",14:00,36,"5,0","8,1",14:10,"9,5","983,2",10,"981,3",Varias,47
1980-04-04,9170,"LOGROÑO, AEROPUERTO",LA RIOJA,353,"8,6","0,0","3,6",06:00,"13,6",13:30,36,"4,7","8,9",15:50,"10,1","982,3",00,"977,3",16,33
1980-04-05,9170,"LOGROÑO, AEROPUERTO",LA RIOJA,353,"8,3","0,0","5,2",00:00,"11,4",14:00,36,"6,7","9,4",10:40,"8,3","980,4",21,"977,2",15,48
1980-04-06,9170,"LOGROÑO, AEROPUERTO",LA RIOJA,353,"7,2","0,0","3,6",03:00,"10,8",14:00,36,"6,4","10,3",16:10,"9,8","982,0",21,"977,7",15,47
1980-03-30,9207,"VALLE DE HECHO, HECHO",HUESCA,860,"10,5","0,0","3,0",,"18,0",,,,,,,,,,,
1980-03-31,9207,"VALLE DE HECHO, HECHO",HUESCA,860,"14,8","0,0","6,0",,"23,5",,,,,,,,,,,
1980-04-01,9207,"VALLE DE HECHO, HECHO",HUESCA,860,"14,5","0,0","7,0",,"22,0",,,,,,,,,,,
1980-04-02,9207,"VALLE DE HECHO, HECHO",HUESCA,860,"13,0","0,0","9,0",,"17,0",,,,,,,,,,,
1980-04-03,9207,"VALLE DE HECHO, HECHO",HUESCA,860,"5,5","0,0","0,0",,"11,0",,,,,,,,,,,
1980-04-04,9207,"VALLE DE HECHO, HECHO",HUESCA,860,"7,0","0,0","3,0",,"11,0",,,,,,,,,,,
1980-04-05,9207,"VALLE DE HECHO, HECHO",HUESCA,860,"4,5","0,0","-1,0",,"10,0",,,,,,,,,,,
1980-04-06,9207,"VALLE DE HECHO, HECHO",HUESCA,860,"3,0","0,0","-2,0",,"8,0",,,,,,,,,,,
1980-03-30,9262,PAMPLONA,NAVARRA,450,"12,0",,"5,0",,"19,0",,,,,,,,,,,
1980-03-30,9263D,"PAMPLONA, AEROPUERTO",NAVARRA,459,"11,5","0,0","4,0",06:30,"19,0",16:25,,"0,0",,,"8,3","970,1",09,"966,4",20,52
1980-03-31,9262,PAMPLONA,NAVARRA,450,"15,2",,"6,4",,"24,0",,,,,,,,,,,
1980-03-31,9263D,"PAMPLONA, AEROPUERTO",NAVARRA,459,"15,0","0,0","5,4",06:30,"24,6",16:05,,"1,4",,,"9,7","967,3",00,"961,6",19,67
1980-04-01,9262,PAMPLONA,NAVARRA,450,"16,7",,"11,0",,"22,4",,,,,,,,,,,
1980-04-01,9263D,"PAMPLONA, AEROPUERTO",NAVARRA,459,"16,0","0,0","9,4",06:40,"22,6",14:45,,"2,8",,,"10,4","968,5",24,"962,8",04,66
1980-04-02,9262,PAMPLONA,NAVARRA,450,"9,0",,"6,0",,"12,0",,,,,,,,,,,
1980-04-02,9263D,"PAMPLONA, AEROPUERTO",NAVARRA,459,"9,5",Ip,"6,0",23:20,"13,0",12:50,,"6,4",,,"2,5","971,5",21,"968,4",00,67
1980-04-03,9262,PAMPLONA,NAVARRA,450,"8,7",,"5,4",,"12,0",,,,,,,,,,,
1980-04-03,9263D,"PAMPLONA, AEROPUERTO",NAVARRA,459,"8,8","0,0","4,4",06:50,"13,2",14:05,,"8,3",,,"10,6","970,9",01,"968,8",19,63
1980-04-04,9262,PAMPLONA,NAVARRA,450,"7,7",,"4,4",,"11,0",,,,,,,,,,,
1980-04-04,9263D,"PAMPLONA, AEROPUERTO",NAVARRA,459,"7,4","0,0","2,6",05:30,"12,2",14:10,,"8,1",,,"10,9","968,8",00,"964,5",16,52
1980-04-05,9262,PAMPLONA,NAVARRA,450,"5,4",,"2,2",,"8,6",,,,,,,,,,,
1980-04-05,9263D,"PAMPLONA, AEROPUERTO",NAVARRA,459,"5,4","0,0","1,8",06:20,"9,0",12:45,,"10,0",,,"9,3","967,1",22,"960,5",06,58
1980-04-06,9262,PAMPLONA,NAVARRA,450,"5,5",,"2,4",,"8,6",,,,,,,,,,,
1980-04-06,9263D,"PAMPLONA, AEROPUERTO",NAVARRA,459,"5,4","0,0","1,4",05:30,"9,4",13:30,,"6,9",,,"9,8","968,0",24,"965,6",15,65
1980-03-30,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"15,2","0,0","9,0",06:00,"21,3",15:30,29,"6,9","15,0",03:52,"8,6","994,5",09,"991,6",04,65
1980-03-30,9390,DAROCA,ZARAGOZA,774,"13,3","0,0","7,0",06:30,"19,6",15:15,,"1,9",,,"9,1","934,4",22,"931,9",04,64
1980-03-30,9381,"CALAMOCHA, AERÓDROMO",TERUEL,932,"13,5","0,0","7,0",06:00,"20,0",16:00,,"3,1",,,"11,5","917,5",12,"913,3",01,89
1980-03-31,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"17,9","0,0","9,6",06:00,"26,2",17:00,27,"2,2","6,1",14:56,"9,8","993,1",00,"986,9",19,64
1980-03-31,9390,DAROCA,ZARAGOZA,774,"16,0","0,0","5,0",07:00,"27,0",14:30,,,,,"9,9","934,3",00,"929,1",17,49
1980-03-31,9381,"CALAMOCHA, AERÓDROMO",TERUEL,932,"14,2","0,0","1,5",05:00,"27,0",15:00,,"3,1",,,"10,7","916,5",07,"913,3",18,80
1980-04-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"19,3","0,0","12,4",05:25,"26,2",15:00,29,"3,3","13,1",23:58,"8,8","990,9",23,"987,1",16,62
1980-04-01,9390,DAROCA,ZARAGOZA,774,"15,6","0,0","7,0",07:00,"24,2",16:00,,"1,4",,,"10,9","931,9",24,"929,3",16,49
1980-04-01,9381,"CALAMOCHA, AERÓDROMO",TERUEL,932,"14,5","0,0","4,0",,"25,0",,,"3,9",,,"10,8","915,7",24,"913,1",15,85
1980-04-02,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,7","0,0","9,4",23:59,"18,0",13:45,29,"10,0","18,3",11:12,"4,9","994,1",21,"990,8",00,62
1980-04-02,9390,DAROCA,ZARAGOZA,774,"11,7","0,0","6,6",07:00,"16,8",15:45,,"2,8",,,"3,0","933,5",21,"931,9",00,69
1980-04-02,9381,"CALAMOCHA, AERÓDROMO",TERUEL,932,"9,5","0,0","2,0",,"17,0",,,"3,1",,,"7,9","916,9",13,"915,7",24,94
1980-04-03,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,0","0,0","8,0",Varias,"16,0",15:00,29,"12,2","22,5",15:46,"9,6","994,1",01,"989,9",16,51
1980-04-03,9390,DAROCA,ZARAGOZA,774,"9,4","0,0","2,0",07:00,"16,8",14:30,,"3,3",,,"10,1","932,5",02,"929,2",19,51
1980-04-03,9381,"CALAMOCHA, AERÓDROMO",TERUEL,932,"8,0","0,0","-1,0",,"17,0",,,"4,4",,,"11,0","915,7",01,"912,7",18,85
1980-04-04,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,1","0,0","6,0",06:00,"16,2",15:10,29,"8,9","21,1",18:50,"9,9","998,8",00,"985,7",18,41
1980-04-04,9390,DAROCA,ZARAGOZA,774,"6,9","0,0","-0,2",07:00,"14,0",15:45,,"4,7",,,"9,2","930,7",00,"925,3",17,46
1980-04-04,9381,"CALAMOCHA, AERÓDROMO",TERUEL,932,"4,0","0,0","-5,0",,"13,0",,,"3,6",,,"9,7","913,5",07,"908,8",24,72
1980-04-05,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,5","0,0","5,2",06:00,"13,8",15:00,32,"10,6","28,3",02:29,"9,4","992,1",23,"984,3",03,40
1980-04-05,9390,DAROCA,ZARAGOZA,774,"5,5","0,0","0,8",23:59,"10,2",15:00,,"4,4",,,"9,8","929,5",24,"923,7",07,43
1980-04-05,9381,"CALAMOCHA, AERÓDROMO",TERUEL,932,"2,5","0,0","-6,0",,"11,0",,,"6,4",,,"12,0","911,5",18,"908,1",06,39
1980-04-06,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,6","0,0","3,8",03:50,"13,5",14:20,29,"13,3","22,5",10:18,"9,1","991,9",00,"987,7",15,44
1980-04-06,9390,DAROCA,ZARAGOZA,774,"4,0","0,0","-4,0",07:00,"12,0",15:00,,"3,6",,,"10,0","930,8",24,"926,0",17,54
1980-04-06,9381,"CALAMOCHA, AERÓDROMO",TERUEL,932,"1,5","0,0","-9,0",,"12,0",,,"4,7",,,"11,0","913,1",24,"909,9",15,51
1980-03-30,9619,LA SEU D'URGELL,LLEIDA,677,,"0,0","0,0",,,,,,,,,,,,,
1980-03-30,9585,LA MOLINA,GIRONA,1699,"3,6","0,0","-2,4",05:00,"9,6",14:00,,"2,2",,,"8,6","828,8",24,"824,5",00,63
1980-03-31,9619,LA SEU D'URGELL,LLEIDA,677,,"0,0","0,0",,,,,,,,,,,,,
1980-03-31,9585,LA MOLINA,GIRONA,1699,"10,9","0,0","3,0",05:15,"18,8",13:30,,"3,1",,,"9,4","829,3",Varias,"826,7",24,67
1980-04-01,9619,LA SEU D'URGELL,LLEIDA,677,,"0,0","3,0",,,,,,,,,,,,,
1980-04-01,9585,LA MOLINA,GIRONA,1699,"10,6","0,0","4,0",03:30,"17,2",11:20,,"3,3",,,"8,2","826,7",01,"825,3",09,65
1980-04-02,9619,LA SEU D'URGELL,LLEIDA,677,,"0,0","3,0",,,,,,,,,,,,,
1980-04-02,9585,LA MOLINA,GIRONA,1699,"7,2","0,0","2,9",04:45,"11,4",14:00,,"3,6",,,"3,4","827,7",Varias,"826,1",Varias,63
1980-04-03,9619,LA SEU D'URGELL,LLEIDA,677,,"0,0","0,0",,,,,,,,,,,,,
