provincia,year,avg_precip,dry_days
TOLEDO,1935,0,8
ZAMORA,1935,0.4375,7
ZARAGOZA,1935,0,8
A CORUÑA,1936,1.6124999999999998,5
ALMERIA,1936,4.65,5
BARCELONA,1936,4.225,1
BURGOS,1936,3.875,3
CACERES,1936,2.65,4
CADIZ,1936,1.525,6
CANTABRIA,1936,9.2125,3
CASTELLON,1936,2.7875,5
CIUDAD REAL,1936,1.375,5
GIPUZKOA,1936,6.625,5
GIRONA,1936,2.8875,3
HUELVA,1936,4.0625,5
JAEN,1936,3.75,4
LLEIDA,1936,3.6374999999999997,5
MADRID,1936,3.4375,1
OURENSE,1936,1.375,6
SANTA CRUZ DE TENERIFE,1936,3.4375,4
STA. CRUZ DE TENERIFE,1936,3.225,3
TARRAGONA,1936,1.3625,2
TOLEDO,1936,2.875,3
ZARAGOZA,1936,2.575,3
A CORUÑA,1937,3.675,4
ALMERIA,1937,0.1,7
BARCELONA,1937,4.0125,5
CACERES,1937,1,7
CANTABRIA,1937,4.4375,4
CASTELLON,1937,0,8
CIUDAD REAL,1937,1.8875000000000002,5
GIPUZKOA,1937,7.825,2
GIRONA,1937,3.8562499999999997,3
HUELVA,1937,2.0375,5
MADRID,1937,1.725,5
SANTA CRUZ DE TENERIFE,1937,0,8
TARRAGONA,1937,1.1375,4
TOLEDO,1937,3.9,5
VALLADOLID,1937,3.1875,6
ZAMORA,1937,4.125,6
ZARAGOZA,1937,2.75,3
A CORUÑA,1938,0,8
ALMERIA,1938,2.8875,7
BARCELONA,1938,0.12083333333333333,6
BURGOS,1938,0,8
CACERES,1938,4.3625,5
CANTABRIA,1938,0,8
CASTELLON,1938,0.125,7
CIUDAD REAL,1938,1.45,6
GIPUZKOA,1938,0,8
GIRONA,1938,0,8
GRANADA,1938,0,8
HUELVA,1938,0.8125,6
LEON,1938,0,8
SANTA CRUZ DE TENERIFE,1938,0.44375,4
TARRAGONA,1938,0,8
TOLEDO,1938,1.4625,6
VALENCIA,1938,0.2,6
VALLADOLID,1938,0,8
ZAMORA,1938,0.3875,7
ZARAGOZA,1938,1.275,6
A CORUÑA,1939,0.85,2
ALICANTE,1939,0.5750000000000001,5
ALMERIA,1939,0,8
ASTURIAS,1939,3.1125,2
BARCELONA,1939,1.075,5
BURGOS,1939,7.0625,2
CACERES,1939,6.8875,2
CANTABRIA,1939,0.0125,7
CASTELLON,1939,1.3624999999999998,6
CEUTA,1939,0.1875,5
GIRONA,1939,0,8
GRANADA,1939,0,8
HUELVA,1939,1.0250000000000001,5
JAEN,1939,7.2875,4
LEON,1939,3.775,2
SANTA CRUZ DE TENERIFE,1939,0.375,7
TARRAGONA,1939,1.2374999999999998,6
TOLEDO,1939,2.1375,3
VALENCIA,1939,2.7625,4
VALLADOLID,1939,3.075,3
ZAMORA,1939,1.275,4
ZARAGOZA,1939,0,8
A CORUÑA,1940,0.375,7
ALBACETE,1940,0,8
ALICANTE,1940,0.8125,7
ALMERIA,1940,0,8
ASTURIAS,1940,0,8
BARCELONA,1940,0.3375,7
BURGOS,1940,0.5375,7
CACERES,1940,0,8
CANTABRIA,1940,0.125,7
CASTELLON,1940,0.6375,7
CEUTA,1940,1.0875,7
GIPUZKOA,1940,0.65,5
GIRONA,1940,0.25,7
GRANADA,1940,0,8
HUELVA,1940,0,8
LEON,1940,0,8
MADRID,1940,0.45,7
SANTA CRUZ DE TENERIFE,1940,0,8
STA. CRUZ DE TENERIFE,1940,0,8
TARRAGONA,1940,0.4,7
TOLEDO,1940,0,8
VALENCIA,1940,0,8
VALLADOLID,1940,0.275,6
ZAMORA,1940,0.625,6
ZARAGOZA,1940,0.125,7
A CORUÑA,1941,1.2125,6
ALBACETE,1941,0,8
ALICANTE,1941,0,8
ALMERIA,1941,0.17500000000000002,6
ASTURIAS,1941,3.1125,6
BARCELONA,1941,0,8
BURGOS,1941,1.775,7
CACERES,1941,0,8
CANTABRIA,1941,1.325,7
CASTELLON,1941,0,8
CIUDAD REAL,1941,0,8
GIPUZKOA,1941,0.6875,7
GIRONA,1941,0,8
GRANADA,1941,0.1125,7
HUELVA,1941,0,8
JAEN,1941,0,8
LEON,1941,0.5125,6
MADRID,1941,0,8
MURCIA,1941,0,8
OURENSE,1941,4.9375,6
SANTA CRUZ DE TENERIFE,1941,3.50625,4
STA. CRUZ DE TENERIFE,1941,2.3875,3
TARRAGONA,1941,0,8
TOLEDO,1941,0.0625,7
VALENCIA,1941,0,8
VALLADOLID,1941,0.4375,7
ZAMORA,1941,0,8
ZARAGOZA,1941,0.83125,7
A CORUÑA,1942,2.3,4
ALBACETE,1942,0,8
ALICANTE,1942,0,8
ALMERIA,1942,0.6,7
BARCELONA,1942,0.25925925925925924,5
BURGOS,1942,0.525,7
CACERES,1942,1.025,7
CANTABRIA,1942,1.2625,3
CASTELLON,1942,0.0375,7
CEUTA,1942,0,8
CIUDAD REAL,1942,0.8,7
GIPUZKOA,1942,3.5,3
GIRONA,1942,0.25,7
GRANADA,1942,0,8
HUELVA,1942,0,8
JAEN,1942,0,8
LEON,1942,0.3625,7
MADRID,1942,0.0625,6
MURCIA,1942,0,8
OURENSE,1942,6.125,5
SANTA CRUZ DE TENERIFE,1942,0,8
STA. CRUZ DE TENERIFE,1942,0,3
TARRAGONA,1942,1.0750000000000002,6
TOLEDO,1942,1.2375,6
VALENCIA,1942,0,8
VALLADOLID,1942,0.0125,7
ZAMORA,1942,0.9625,7
ZARAGOZA,1942,0.4625,7
A CORUÑA,1943,1.725,5
ALBACETE,1943,1.425,5
ALICANTE,1943,0.7749999999999999,6
ARABA/ALAVA,1943,2.225,5
ASTURIAS,1943,2.0125,4
BARCELONA,1943,0.615625,4
BURGOS,1943,3.4749999999999996,2
CACERES,1943,5.7875,5
CANTABRIA,1943,2,3
CASTELLON,1943,0.4375,6
CEUTA,1943,11.5625,5
CIUDAD REAL,1943,4.2,5
GIPUZKOA,1943,1.6625,5
GIRONA,1943,0.6625,6
GRANADA,1943,1.45,6
GUADALAJARA,1943,8.3375,3
HUELVA,1943,2.825,4
JAEN,1943,4.5875,5
LEON,1943,3.8874999999999997,1
MADRID,1943,6.6375,5
MALAGA,1943,3.8625,5
MURCIA,1943,0.0625,7
OURENSE,1943,4.4125,3
SANTA CRUZ DE TENERIFE,1943,1.3958333333333333,2
STA. CRUZ DE TENERIFE,1943,2.125,5
TARRAGONA,1943,1.0999999999999999,4
TERUEL,1943,3.7375,4
TOLEDO,1943,5.9,3
VALENCIA,1943,0.225,6
VALLADOLID,1943,3.2125,3
ZAMORA,1943,1.825,4
ZARAGOZA,1943,1.71875,5
A CORUÑA,1944,4.20625,3
ALBACETE,1944,2.8,5
ALICANTE,1944,0,8
ARABA/ALAVA,1944,1.4000000000000001,4
ASTURIAS,1944,1.825,3
BARCELONA,1944,2.066666666666667,4
BURGOS,1944,3.78125,2
CACERES,1944,3.4,1
CANTABRIA,1944,1.55,6
CASTELLON,1944,0.4,6
CEUTA,1944,2.75,5
CIUDAD REAL,1944,4.475,2
GIPUZKOA,1944,0.4,4
GIRONA,1944,1.0625,6
GRANADA,1944,5.1875,4
GUADALAJARA,1944,7.025,1
HUELVA,1944,2.9,2
ILLES BALEARS,1944,0,8
JAEN,1944,4.125,5
LEON,1944,4.8,2
MADRID,1944,6.775,1
MALAGA,1944,6.425,4
SANTA CRUZ DE TENERIFE,1944,0.5416666666666666,6
TARRAGONA,1944,0.19999999999999998,6
